heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,15,10,1,0.002460,1096,99,0.10
monotona,15,10,2,0.002721,1157,99,0.10
monotona,15,10,3,0.002611,1165,99,0.10
monotona,15,10,4,0.002888,1340,99,0.10
monotona,15,10,5,0.003415,1462,99,0.10
monotona,15,10,6,0.002509,1044,99,0.10
monotona,15,10,7,0.002956,1330,99,0.10
monotona,15,10,8,0.002351,1032,99,0.10
monotona,15,10,9,0.002749,1049,99,0.10
monotona,15,10,10,0.003125,1332,99,0.10
monotona,15,10,1,0.002263,1279,99,0.20
monotona,15,10,2,0.002132,1253,99,0.20
monotona,15,10,3,0.002308,1251,99,0.20
monotona,15,10,4,0.003703,2037,99,0.20
monotona,15,10,5,0.003473,1919,99,0.20
monotona,15,10,6,0.002269,1271,99,0.20
monotona,15,10,7,0.001831,1035,99,0.20
monotona,15,10,8,0.001932,1081,99,0.20
monotona,15,10,9,0.001867,1067,102,0.20
monotona,15,10,10,0.001924,1082,99,0.20
monotona,15,10,1,0.002342,1799,99,0.30
monotona,15,10,2,0.002550,1736,99,0.30
monotona,15,10,3,0.001902,1342,99,0.30
monotona,15,10,4,0.001728,1253,99,0.30
monotona,15,10,5,0.002444,1769,99,0.30
monotona,15,10,6,0.002448,1766,99,0.30
monotona,15,10,7,0.001751,1251,99,0.30
monotona,15,10,8,0.001915,1451,99,0.30
monotona,15,10,9,0.002282,1629,99,0.30
monotona,15,10,10,0.001370,1096,99,0.30
monotona,15,10,1,0.001496,1363,99,0.40
monotona,15,10,2,0.001665,1579,99,0.40
monotona,15,10,3,0.001300,1230,101,0.40
monotona,15,10,4,0.001119,1179,99,0.40
monotona,15,10,5,0.001486,1362,99,0.40
monotona,15,10,6,0.001163,1130,101,0.40
monotona,15,10,7,0.001725,1758,101,0.40
monotona,15,10,8,0.001199,1168,101,0.40
monotona,15,10,9,0.001795,1847,99,0.40
monotona,15,10,10,0.001369,1289,99,0.40
monotona,15,10,1,0.002104,2760,101,0.50
monotona,15,10,2,0.000927,1256,103,0.50
monotona,15,10,3,0.001567,2042,99,0.50
monotona,15,10,4,0.002071,2607,103,0.50
monotona,15,10,5,0.001470,1899,101,0.50
monotona,15,10,6,0.001918,2545,101,0.50
monotona,15,10,7,0.000988,1361,99,0.50
monotona,15,10,8,0.001665,2115,99,0.50
monotona,15,10,9,0.001419,1724,103,0.50
monotona,15,10,10,0.001525,2035,99,0.50
monotona,15,10,1,0.000559,1011,108,0.60
